,name,org_type,effort
57,Glen Eira City Council,Local Government,20.0
58,Glen Eira Environment Group,Community Organization,5.0
59,Glen Huntly Primary School,Education,10.0
60,GoodCompany,Business,5.0
61,Gordon TAFE,Education,30.0
62,Greensong,Business,
63,Hamer Sprout Fund,Trust/Foundation,10.0
64,Helen Macpherson Smith,Trust/Foundation,5.0
65,Hobsons Bay City Council,Local Government,5.0
66,Hub Australia,Business,
67,Indigenous Flora and Fauna Association,Community Organization,10.0
68,Inner Eastern Local Learning and Employment Network,Community Organization,10.0
69,Inner South Community Health (now STAR Health),Business,5.0
70,Insurance Australia Group,Business,
71,Jawbone Sanctuary Marine Care Group,Community Organization,30.0
72,Jewish Ecological Coalition,Community Organization,20.0
73,Keep Australia Beautiful,Community Organization,20.0
74,Keep Victoria Beautiful,Community Organization,5.0
75,Kids in Nature Network,Community Organization,5.0
76,Kids Teaching Kids,Business,20.0
77,Kingston City Council,Local Government,5.0
78,Landcare Australia,Community Organization,5.0
79,Latenite Films,Business,
80,Little Feet Music,Business,5.0
81,LIVE - Locals Into Victoria’s Environment,Community Organization,60.0
82,Lord Mayors’ Charitable Foundation,Trust/Foundation/Foundation,10.0
83,Love Our Street 3184,Community Organization,5.0
84,Lutman Films,Business,
85,Mammal Survey Group of Victoria,Community Organization,10.0
86,Marine Care Ricketts Point,Community Organization,
87,Mary and Basil Community Garden,Community Organization,10.0
88,Melbourne Girls’ College,Education,30.0
89,Melbourne Polytechnic,Education,5.0
90,Melbourne Ports Stop Adani,Community Organization,100.0
91,Melbourne Water,Local Government,40.0
92,Metropolitan Waste and Resource Recovery Group,Local Government,40.0
93,Monash University,Education,5.0
94,Montague Continuing Education Centre,Education,30.0
95,MOOP Patrol,Community Organization,10.0
96,Mornington Peninsula Shire,Government,10.0
97,National Australia Bank (NAB),Business,10.0
98,National Centre for Coasts and Climate,Government,5.0
99,OASES College and Graduate School,Eduation,20.0
100,Parks Victoria,Government,5.0
101,Patagonia,Business,10.0
102,Pelican Expeditions & Saltwater Projects,Business,10.0
103,PJT Green Plumbing,Business,5.0
104,Ply Creative,Business,
105,Point Nepean Conservation Society,Community Organization,
106,Polperro Dolphin Swims,Business,10.0
107,Port Melbourne Primary School,Education,5.0
108,Port Phillip & Westernport Catchment Management Authority,State Government,20.0
109,Port Phillip Bicycle Users' Group,Community Organization,5.0
110,Port Phillip Citizens for Reconciliation,Community Organization,
111,Port Phillip Community Group (PPCG),Community Organization,5.0
112,Port Phillip Housing Association (PPHA),Community Organization,10.0
113,Presentation College,Education,5.0
114,Public Records Office Victoria,State Government,5.0
115,Qiantang Riverkeeper,Community Organization,5.0
116,Renegades,Business,30.0
117,Royal Melbourne Institute of Technology,Education,30.0
118,Royal Melbourne Yacht Squadron,Business,
119,Rye Foreshore Management Committee,,10.0
120,Sacred Heart Mission/ Outlandish,Community Organization,10.0
121,Save Albert Park,Community Organization,
122,Save the Bays Bahamas,Community Organization,10.0
123,Scab Duty,Community Organization,10.0
124,Sea Life Trust (Melbourne Aquarium),Business,10.0
125,Sea Sheperd Australia,Community Organization,5.0
126,Sheree Marris (Melbourne Down Under),Other,10.0
127,"SKINC (St Kilda Indigenous Nursery
Co-operative)",Community Organization,10.0
128,South Port Uniting Care,Community Organization,5.0
129,Southern Peninsula Flora and Fauna Association,Community Organization,5.0
130,Soxy Beast,Business,5.0
131,St Kilda Community Garden Club,Community Organization,
132,St Kilda News,Education,10.0
133,St Kilda Primary School,Education,20.0
134,St Louis de Montfort Primary School,Education,10.0
135,Stonnington Climate Change Action Network,Business,
136,Stratton,Business,5.0
137,Sustain: Australian Food Network,Government,10.0
138,Sustainability Victoria,State Government,30.0
139,Tangaroa Blue Foundation,Community Organization,10.0
140,Target,Business,5.0
141,Telstra,Business,5.0
142,The Connies,Community Organization,5.0
143,Tomorrow’s Leaders for Sustainability Inc,Community Organization,20.0
144,Trade Creative Media,Business,5.0
145,Transition Port Phillip,Community Organization,5.0
146,Trash Puppets,Community Organization,5.0
147,Treasury Wine Estates,Business,5.0
148,University of Melbourne,Education,30.0
149,Upper Yarra Landcare,Community Organization,5.0
150,Veg Out Community Garden,Community Organization,5.0
151,Victoria International Container Terminal Community Investment Fund,Trust/Foundations/Foundation,5.0
152,Victoria National Parks Association,State Government,5.0
153,Victoria Polytechnic,Education,5.0
154,Victorian Department of Education and Training,State Government,10.0
155,Victorian Landcare Council (now Landcare Victoria Incorporated (LVI)),Community Organization,5.0
156,Victorian Litter Action Alliance,State Government,30.0
157,Vivad Pty Ltd,Business,
158,Waterkeeper Alliance,Community Organization,60.0
159,Werribee Riverkeeper,Community Organization,50.0
160,William Angliss TAFE,Education,5.0
161,Worcester Polytechnic Institute,Education,30.0
162,Yarra Riverkeeper,Community Organization,50.0
163,,,14.53703704
164,,,
165,,,
166,,,
167,,,
168,,,
169,,,
170,,,
171,,,
172,,,
173,,,
174,,,
175,,,
176,,,
177,,,
178,,,
179,,,
180,,,
181,,,
182,,,
183,,,
184,,,
185,,,
186,,,
187,,,
188,,,
189,,,
190,,,
191,,,
192,,,
193,,,
194,,,
195,,,
196,,,
197,,,
198,,,
199,,,
200,,,
201,,,
202,,,
203,,,
204,,,
205,,,
206,,,
207,,,
208,,,
209,,,
210,,,
211,,,
212,,,
213,,,
214,,,
215,,,
216,,,
217,,,
218,,,
219,,,
220,,,
221,,,
222,,,
223,,,
224,,,
225,,,
226,,,
227,,,
228,,,
229,,,
230,,,
231,,,
232,,,
233,,,
234,,,
235,,,
236,,,
237,,,
238,,,
239,,,
240,,,
241,,,
242,,,
243,,,
244,,,
245,,,
246,,,
247,,,
248,,,
249,,,
250,,,
251,,,
252,,,
253,,,
254,,,
255,,,
256,,,
257,,,
258,,,
259,,,
260,,,
261,,,
262,,,
263,,,
264,,,
265,,,
266,,,
267,,,
268,,,
269,,,
270,,,
271,,,
272,,,
273,,,
274,,,
275,,,
276,,,
277,,,
278,,,
279,,,
280,,,
281,,,
282,,,
283,,,
284,,,
285,,,
286,,,
287,,,
288,,,
289,,,
290,,,
291,,,
292,,,
293,,,
294,,,
295,,,
296,,,
297,,,
298,,,
299,,,
300,,,
301,,,
302,,,
303,,,
304,,,
305,,,
306,,,
307,,,
308,,,
309,,,
310,,,
311,,,
312,,,
313,,,
314,,,
315,,,
316,,,
317,,,
318,,,
319,,,
320,,,
321,,,
322,,,
323,,,
324,,,
325,,,
326,,,
327,,,
328,,,
329,,,
330,,,
331,,,
332,,,
333,,,
334,,,
335,,,
336,,,
337,,,
338,,,
339,,,
340,,,
341,,,
342,,,
343,,,
344,,,
345,,,
346,,,
347,,,
348,,,
349,,,
350,,,
351,,,
352,,,
353,,,
354,,,
355,,,
356,,,
357,,,
358,,,
359,,,
360,,,
361,,,
362,,,
363,,,
364,,,
365,,,
366,,,
367,,,
368,,,
369,,,
370,,,
371,,,
372,,,
373,,,
374,,,
375,,,
376,,,
377,,,
378,,,
379,,,
380,,,
381,,,
382,,,
383,,,
384,,,
385,,,
386,,,
387,,,
388,,,
389,,,
390,,,
391,,,
392,,,
393,,,
394,,,
395,,,
396,,,
397,,,
398,,,
399,,,
400,,,
401,,,
402,,,
403,,,
404,,,
405,,,
406,,,
407,,,
408,,,
409,,,
410,,,
411,,,
412,,,
413,,,
414,,,
415,,,
416,,,
417,,,
418,,,
419,,,
420,,,
421,,,
422,,,
423,,,
424,,,
425,,,
426,,,
427,,,
428,,,
429,,,
430,,,
431,,,
432,,,
433,,,
434,,,
435,,,
436,,,
437,,,
438,,,
439,,,
440,,,
441,,,
442,,,
443,,,
444,,,
445,,,
446,,,
447,,,
448,,,
449,,,
450,,,
451,,,
452,,,
453,,,
454,,,
455,,,
456,,,
457,,,
458,,,
459,,,
460,,,
461,,,
462,,,
463,,,
464,,,
465,,,
466,,,
467,,,
468,,,
469,,,
470,,,
471,,,
472,,,
473,,,
474,,,
475,,,
476,,,
477,,,
478,,,
479,,,
480,,,
481,,,
482,,,
483,,,
484,,,
485,,,
486,,,
487,,,
488,,,
489,,,
490,,,
491,,,
492,,,
493,,,
494,,,
495,,,
496,,,
497,,,
498,,,
499,,,
500,,,
501,,,
502,,,
503,,,
504,,,
505,,,
506,,,
507,,,
508,,,
509,,,
510,,,
511,,,
512,,,
513,,,
514,,,
515,,,
516,,,
517,,,
518,,,
519,,,
520,,,
521,,,
522,,,
523,,,
524,,,
525,,,
526,,,
527,,,
528,,,
529,,,
530,,,
531,,,
532,,,
533,,,
534,,,
535,,,
536,,,
537,,,
538,,,
539,,,
540,,,
541,,,
542,,,
543,,,
544,,,
545,,,
546,,,
547,,,
548,,,
549,,,
550,,,
551,,,
552,,,
553,,,
554,,,
555,,,
556,,,
557,,,
558,,,
559,,,
560,,,
561,,,
562,,,
563,,,
564,,,
565,,,
566,,,
567,,,
568,,,
569,,,
570,,,
571,,,
572,,,
573,,,
574,,,
575,,,
576,,,
577,,,
578,,,
579,,,
580,,,
581,,,
582,,,
583,,,
584,,,
585,,,
586,,,
587,,,
588,,,
589,,,
590,,,
591,,,
592,,,
593,,,
594,,,
595,,,
596,,,
597,,,
598,,,
599,,,
600,,,
601,,,
602,,,
603,,,
604,,,
605,,,
606,,,
607,,,
608,,,
609,,,
610,,,
611,,,
612,,,
613,,,
614,,,
615,,,
616,,,
617,,,
618,,,
619,,,
620,,,
621,,,
622,,,
623,,,
624,,,
625,,,
626,,,
627,,,
628,,,
629,,,
630,,,
631,,,
632,,,
633,,,
634,,,
635,,,
636,,,
637,,,
638,,,
639,,,
640,,,
641,,,
642,,,
643,,,
644,,,
645,,,
646,,,
647,,,
648,,,
649,,,
650,,,
651,,,
652,,,
653,,,
654,,,
655,,,
656,,,
657,,,
658,,,
659,,,
660,,,
661,,,
662,,,
663,,,
664,,,
665,,,
666,,,
667,,,
668,,,
669,,,
670,,,
671,,,
672,,,
673,,,
674,,,
675,,,
676,,,
677,,,
678,,,
679,,,
680,,,
681,,,
682,,,
683,,,
684,,,
685,,,
686,,,
687,,,
688,,,
689,,,
690,,,
691,,,
692,,,
693,,,
694,,,
695,,,
696,,,
697,,,
698,,,
699,,,
700,,,
701,,,
702,,,
703,,,
704,,,
705,,,
706,,,
707,,,
708,,,
709,,,
710,,,
711,,,
712,,,
713,,,
714,,,
715,,,
716,,,
717,,,
718,,,
719,,,
720,,,
721,,,
722,,,
723,,,
724,,,
725,,,
726,,,
727,,,
728,,,
729,,,
730,,,
731,,,
732,,,
733,,,
734,,,
735,,,
736,,,
737,,,
738,,,
739,,,
740,,,
741,,,
742,,,
743,,,
744,,,
745,,,
746,,,
747,,,
748,,,
749,,,
750,,,
751,,,
752,,,
753,,,
754,,,
755,,,
756,,,
757,,,
758,,,
759,,,
760,,,
761,,,
762,,,
763,,,
764,,,
765,,,
766,,,
767,,,
768,,,
769,,,
770,,,
771,,,
772,,,
773,,,
774,,,
775,,,
776,,,
777,,,
778,,,
779,,,
780,,,
781,,,
782,,,
783,,,
784,,,
785,,,
786,,,
787,,,
788,,,
789,,,
790,,,
791,,,
792,,,
793,,,
794,,,
795,,,
796,,,
797,,,
798,,,
799,,,
800,,,
801,,,
802,,,
803,,,
804,,,
805,,,
806,,,
807,,,
808,,,
809,,,
810,,,
811,,,
812,,,
813,,,
814,,,
815,,,
816,,,
817,,,
818,,,
819,,,
820,,,
821,,,
822,,,
823,,,
824,,,
825,,,
826,,,
827,,,
828,,,
829,,,
830,,,
831,,,
832,,,
833,,,
834,,,
835,,,
836,,,
837,,,
838,,,
839,,,
840,,,
841,,,
842,,,
843,,,
844,,,
845,,,
846,,,
847,,,
848,,,
849,,,
850,,,
851,,,
852,,,
853,,,
854,,,
855,,,
856,,,
857,,,
858,,,
859,,,
860,,,
861,,,
862,,,
863,,,
864,,,
865,,,
866,,,
867,,,
868,,,
869,,,
870,,,
871,,,
872,,,
873,,,
874,,,
875,,,
876,,,
877,,,
878,,,
879,,,
880,,,
881,,,
882,,,
883,,,
884,,,
885,,,
886,,,
887,,,
888,,,
889,,,
890,,,
891,,,
892,,,
893,,,
894,,,
895,,,
896,,,
897,,,
898,,,
899,,,
900,,,
901,,,
902,,,
903,,,
904,,,
905,,,
906,,,
907,,,
908,,,
909,,,
910,,,
911,,,
912,,,
913,,,
914,,,
915,,,
916,,,
917,,,
918,,,
919,,,
920,,,
921,,,
922,,,
923,,,
924,,,
925,,,
926,,,
927,,,
928,,,
929,,,
930,,,
931,,,
932,,,
933,,,
934,,,
935,,,
936,,,
937,,,
938,,,
939,,,
940,,,
941,,,
942,,,
943,,,
944,,,
945,,,
946,,,
947,,,
948,,,
949,,,
950,,,
951,,,
952,,,
953,,,
954,,,
955,,,
956,,,
957,,,
958,,,
959,,,
960,,,
961,,,
962,,,
963,,,
964,,,
965,,,
966,,,
967,,,
968,,,
969,,,
970,,,
971,,,
972,,,
973,,,
974,,,
975,,,
976,,,
977,,,
978,,,
979,,,
980,,,
981,,,
982,,,
983,,,
984,,,
985,,,
986,,,
987,,,
988,,,
989,,,
990,,,
991,,,
992,,,
993,,,
994,,,
995,,,
